source,line,namespace,kind,id,status
src/main/resources/mappers/arisuinfo/cm/bbs/bbsNtcMngMapper.xml,194,arisuinfo.cm.bbs.mapper.BbsNtcMngMapper,select,searchBbsNtcDetail,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsNtcMngMapper.xml,267,arisuinfo.cm.bbs.mapper.BbsNtcMngMapper,insert,registBbsNtcMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsNtcMngMapper.xml,344,arisuinfo.cm.bbs.mapper.BbsNtcMngMapper,update,modifyBbsNtcMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsNtcMngMapper.xml,385,arisuinfo.cm.bbs.mapper.BbsNtcMngMapper,select,selectEmrgcNtcUnalrtList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsNtcMngMapper.xml,405,arisuinfo.cm.bbs.mapper.BbsNtcMngMapper,update,updateEmrgcNtcAlrtFlag,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsNtcMngMapper.xml,420,arisuinfo.cm.bbs.mapper.BbsNtcMngMapper,select,searchBbsNtcPopup,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsNtcMngMapper.xml,462,arisuinfo.cm.bbs.mapper.BbsNtcMngMapper,select,searchBbsNtcMain,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,10,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,select,searchBbsQnaList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,110,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,select,searchBbsQnaMng,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,220,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,select,searchBbsQnaDetail,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/bbs/bbsQnaMngMapper.xml,279,arisuinfo.cm.bbs.mapper.BbsQnaMngMapper,select,searchBbsQnaAnsList,NOT_VERIFIED
