source,title,route_references,status
src/main/nexacro/form/cm/oper/cmIssueRegP.xfdl,오류 등록,svc::/cm/fileUpload/fileUploadList.do | svc::/cm/oper/insertIssueMng.do | svc::/cm/oper/searchMenuInfo.do | svc::/cm/oper/searchPgmCdList.do | svc::/cm/oper/searchSysSeCdList.do | svc::/cm/oper/searchTaskSeCdList.do,NOT_VERIFIED
src/main/nexacro/form/cm/oper/cmSchdulDtalP.xfdl,배치 작업 일정 상세 팝업,svc::/cm/oper/searchProcSchdulDetailList.do,NOT_VERIFIED
src/main/nexacro/form/cm/oper/cmSchdulMngF.xfdl,배치 작업 일정 확인,svc::/cm/oper/searchProcSchdulList.do,NOT_VERIFIED
src/main/nexacro/form/cm/oper/cmTaskMngF.xfdl,과업 및 민원 관리,svc::/cm/oper/modifyTaskMng.do | svc::/cm/oper/registTaskMng.do | svc::/cm/oper/removeTaskMng.do | svc::/cm/oper/searchTaskMngList.do,NOT_VERIFIED
src/main/nexacro/form/cm/user/cmAuthAplyF.xfdl,권한 신청,svc::/cm/auth/authAplyList.do | svc::/cm/auth/selectAreaList.do | svc::/cm/auth/selectAuthAplyList.do | svc::/cm/auth/selectBdongListByOfficeCd.do | svc::/cm/bbs/selectUtztnTrmsNeedAgreSysList.do,NOT_VERIFIED
src/main/nexacro/form/cm/user/cmAuthChgP.xfdl,권한변경신청,svc::/cm/usr/saveAuthChg.do | svc::/cm/usr/selectAuthApovList.do,NOT_VERIFIED
src/main/nexacro/form/cm/user/cmAuthHstryP.xfdl,권한이력목록,svc::/cm/usr/selectUsrAuthHstryList.do,NOT_VERIFIED
src/main/nexacro/form/cm/user/cmAuthMenuP.xfdl,권한목록팝업,svc::/cm/auth/selectAuthTreeList.do | svc::/cm/auth/selectAuthrtMenuTreeList.do,NOT_VERIFIED
src/main/nexacro/form/cm/user/cmAuthMndtP.xfdl,권한위임,svc::/cm/usr/deleteAuthMndt.do | svc::/cm/usr/insertAuthMndt.do | svc::/cm/usr/selectAuthApovList.do | svc::/cm/usr/selectAuthMndt.do | svc::/cm/usr/selectDelegateAuthList.do,NOT_VERIFIED
src/main/nexacro/form/cm/user/cmAuthMngF.xfdl,권한관리,svc::/cm/auth/saveAuth.do | svc::/cm/auth/saveAuthMenuList.do | svc::/cm/auth/selectAuth.do | svc::/cm/auth/selectAuthTreeList.do | svc::/cm/auth/selectAuthUsrList.do | svc::/cm/auth/selectAuthrtMenuTreeList.do,NOT_VERIFIED
src/main/nexacro/form/cm/user/cmAuthMngP.xfdl,권한목록팝업,svc::/cm/auth/selectAuthTreeList.do,NOT_VERIFIED
src/main/nexacro/form/cm/user/cmCsUmsFileP.xfdl,고객 첨부파일 조회,svc::/cm/cmPop/deleteFileReqUms.do | svc::/cm/cmPop/registFileReqUms.do | svc::/cm/cmPop/searchFileReqUms.do,NOT_VERIFIED
src/main/nexacro/form/cm/user/cmJobChrgerMngF.xfdl,업무 담당자 관리,svc::/cm/user/searchUsr.do | svc::/cm/usr/modifyJobChrger.do | svc::/cm/usr/modifyJobChrgerUseFlag.do | svc::/cm/usr/registJobChrger.do | svc::/cm/usr/removeJobChrger.do | svc::/cm/usr/searchJobChrger.do,NOT_VERIFIED
src/main/nexacro/form/cm/user/cmLoginHistF.xfdl,로그인 이력,svc::/cm/login/searchLoginHist.do | svc::/cm/usr/searchUsr.do,NOT_VERIFIED
